id,,brand,title,description,availability,condition,price,link,image_link,images_link,video_link,google_product_category,fb_product_category,sale_price
21,KTGAD6,Nexgen,USB Hub 4 Port,USB Hub 4 Port,in stock,new,NPR 599.00,http://ktg.aaja.co/,KTGAD6_C1.jpg,KTGAD6_D1.jpg~KTGAD6_D2.jpg~KTGAD6_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
22,KTGAD7,Nexgen,USB Extension Pro Series 1.5M - 30M,USB Extension Pro Series 1.5M - 30M,in stock,new,NPR 249.00,http://ktg.aaja.co/,KTGAD7_C1.jpg,KTGAD7_D1.jpg~KTGAD7_D2.jpg~KTGAD7_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
23,KTGAD8,Nexgen,USB To 9 Pin Pro Series RS 232,USB To 9 Pin Pro Series RS 232,in stock,new,NPR 999.00,http://ktg.aaja.co/,KTGAD8_C1.jpg,KTGAD8_D1.jpg~KTGAD8_D2.jpg~KTGAD8_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
24,KTGAD9,Nexgen,USB to V3 Cable Pro Series,USB to V3 Cable Pro Series,in stock,new,NPR 299.00,http://ktg.aaja.co/,KTGAD9_C1.jpg,KTGAD9_D1.jpg~KTGAD9_D2.jpg~KTGAD9_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
25,KTGAD10,Nexgen,USB to Micro Pro Series 3.0 Cable,USB to Micro Pro Series 3.0 Cable,in stock,new,NPR 299.00,http://ktg.aaja.co/,KTGAD10_C1.jpg,KTGAD10_D1.jpg~KTGAD10_D2.jpg~KTGAD10_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
26,KTGAD11,Nexgen,HDMI 2 in 1 (Y) Splitter Pro Series,HDMI 2 in 1 (Y) Splitter Pro Series,in stock,new,NPR 999.00,http://ktg.aaja.co/,KTGAD11_C1.jpg,KTGAD11_D1.jpg~KTGAD11_D2.jpg~KTGAD11_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
27,KTGAD12,Nexgen,HDMI Cable Pro Series,HDMI Cable Pro Series,in stock,new,NPR 299.00,http://ktg.aaja.co/,KTGAD12_C1.jpg,KTGAD12_D1.jpg~KTGAD12_D2.jpg~KTGAD12_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
28,KTGAD13,Nexgen,HDMI Cable Pro Series 4K,HDMI Cable Pro Series 4K,in stock,new,NPR 699.00,http://ktg.aaja.co/,KTGAD13_C1.jpg,KTGAD13_D1.jpg~KTGAD13_D2.jpg~KTGAD13_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
29,KTGAD14,Nexgen,Mini HDMI to HDMI Pro Series,Mini HDMI to HDMI Pro Series,in stock,new,NPR 899.00,http://ktg.aaja.co/,KTGAD14_C1.jpg,KTGAD14_D1.jpg~KTGAD14_D2.jpg~KTGAD14_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
30,KTGAD16,Nexgen,VGA Cable Pro Series,VGA Cable Pro Series,in stock,new,NPR 399.00,http://ktg.aaja.co/,KTGAD16_C1.jpg,KTGAD16_D1.jpg~KTGAD16_D2.jpg~KTGAD16_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
31,KTGAD17,Nexgen,Printer Cable Pro Series 1.5M / 3M / 5M,Printer Cable Pro Series 1.5M / 3M / 5M,in stock,new,NPR 299.00,http://ktg.aaja.co/,KTGAD17_C1.jpg,KTGAD17_D1.jpg~KTGAD17_D2.jpg~KTGAD17_D3.jpg,,Electronics > Electronics Accessories > Computer Accessories,,
32,KTGAE1_1,Yeti SSD,Yeti SSD 128 GB,"N-TECH नेपालको उच्च गुणस्तर साथै तिब्र गतिको YETI premium SSD राखी आफ्नो ढीलो सुस्तो र बूढ़ों Laptop तथा Desktop कम्प्यूटरलाई नयाँ जीवन दिनुहोस् । WINDOWS, MAC र LINUX तिनै OS लाई support गर्ने, system लाई स्थिर र चुस्त बनाउने, सजीलै Set Up र Install गर्न सकिने Yeti Premium SSD 128 GB , 258 GB र 512 GB मा पूरा १ वर्षको Replace Gurantee सहित उपलब्ध छन्। N-TECH अब Quality माँ No Compromise.",in stock,new,NPR 2999.00,http://ktg.aaja.co/,KTGAE1_C1.jpg,KTGAE1_D1.jpg~KTGAE1_D2.jpg~KTGAE1_D3.jpg,"RmsaXJOdm9M, -Ckvi9BMb_k",Electronics > Electronics Accessories > Computer Accessories,,
33,KTGAE1_2,Yeti SSD,Yeti SSD 256 GB,"N-TECH नेपालको उच्च गुणस्तर साथै तिब्र गतिको YETI premium SSD राखी आफ्नो ढीलो सुस्तो र बूढ़ों Laptop तथा Desktop कम्प्यूटरलाई नयाँ जीवन दिनुहोस् । WINDOWS, MAC र LINUX तिनै OS लाई support गर्ने, system लाई स्थिर र चुस्त बनाउने, सजीलै Set Up र Install गर्न सकिने Yeti Premium SSD 128 GB , 258 GB र 512 GB मा पूरा १ वर्षको Replace Gurantee सहित उपलब्ध छन्। N-TECH अब Quality माँ No Compromise.",in stock,new,NPR 4699.00,http://ktg.aaja.co/,KTGAE1_C1.jpg,KTGAE1_D1.jpg~KTGAE1_D2.jpg~KTGAE1_D3.jpg,"RmsaXJOdm9M, -Ckvi9BMb_k",Electronics > Electronics Accessories > Computer Accessories,,
34,KTGAE1_3,Yeti SSD,Yeti SSD 512 GB,"N-TECH नेपालको उच्च गुणस्तर साथै तिब्र गतिको YETI premium SSD राखी आफ्नो ढीलो सुस्तो र बूढ़ों Laptop तथा Desktop कम्प्यूटरलाई नयाँ जीवन दिनुहोस् । WINDOWS, MAC र LINUX तिनै OS लाई support गर्ने, system लाई स्थिर र चुस्त बनाउने, सजीलै Set Up र Install गर्न सकिने Yeti Premium SSD 128 GB , 258 GB र 512 GB मा पूरा १ वर्षको Replace Gurantee सहित उपलब्ध छन्। N-TECH अब Quality माँ No Compromise.",in stock,new,NPR 8999.00,http://ktg.aaja.co/,KTGAE1_C1.jpg,KTGAE1_D1.jpg~KTGAE1_D2.jpg~KTGAE1_D3.jpg,"RmsaXJOdm9M, -Ckvi9BMb_k",Electronics > Electronics Accessories > Computer Accessories,,
35,KTGAF1,Carbon,SSD Case,"Supports Windows OS, Mac OS & Linux; Transfer Speed 5 GBPs",in stock,new,NPR 899.00,http://ktg.aaja.co/,KTGAF1_C1.jpg,KTGAF1_D1.jpg~KTGAF1_D2.jpg~KTGAF1_D3.jpg,Z7QW_Vb6E8s,Electronics > Electronics Accessories > Computer Accessories,,
36,KTGAF2,Carbon,Docking Station,"उच्च गुणस्तर र डाइनामिक CARBON Double Docking Station. 10 TB सम्मको Harddiskलाई सजीलै Support गर्ने , एक़ै पटकमाँ दुईवटा सम्म 3.5 HDD , 2.5 HDD अथवा 2.5 SSD लाई संगै प्रयोगमाँ ल्याउन सकिने यस गतिशील Carbon DDS यूट्यूबर, फ़ोटोग्राफ़र, इंजीनियर, विद्यार्थी , बैंक र अन्य व्यवसायीहरूको डिजिटल storage आवश्यकतालाई सहजीकरन गर्दछ । आजनै Carbon DDS प्रयोगगरी आफ्नो डेटालाई सजिलै सुरक्षित गर्नूहोस । Data is everything so find your quintessential data storage easing tool CARBON DDS from N-TECH because we care.",in stock,new,NPR 3199.00,http://ktg.aaja.co/,KTGAF2_C1.jpg,KTGAF2_D1.jpg~KTGAF2_D2.jpg~KTGAF2_D3.jpg,GHbEALSgtik,Electronics > Electronics Accessories > Computer Accessories,,
37,KTGAF3,Carbon,M.2 128 GB,Carbon M.2 128 GB,in stock,new,NPR 2499.00,http://ktg.aaja.co/,KTGAF3_C1.jpg,KTGAF3_D1.jpg~KTGAF3_D2.jpg~KTGAF3_D3.jpg,hgjtSjSZgp8,Electronics > Electronics Accessories > Computer Accessories,,
38,KTGAF3,Carbon,NBME 128,Carbon NBME 128,in stock,new,NPR 2499.00,http://ktg.aaja.co/,KTGAF3_C1.jpg,KTGAF3_D1.jpg~KTGAF3_D2.jpg~KTGAF3_D3.jpg,hgjtSjSZgp8,Electronics > Electronics Accessories > Computer Accessories,,
